model,source,region,dice,iou
nnUNetTrainer_50epochs__nnUNetResEncL_Colab__3d_fullres,cross-validation,WT,0.8988964202194873,0.8255943262069787
nnUNetTrainer_50epochs__nnUNetResEncL_Colab__3d_fullres,cross-validation,TC,0.8371547659821623,0.759700277437818
nnUNetTrainer_50epochs__nnUNetResEncL_Colab__3d_fullres,cross-validation,ET,0.6970277925115175,0.6143242081460626
nnUNetTrainer_50epochs__nnUNetResEncL_Colab__3d_fullres,cross-validation,Foreground,0.8110263262377223,0.733206270596953
nnUNetTrainer_50epochs__nnUNetResEncL_Colab__3d_fullres,post-processed,WT,0.8988964202194873,0.8255943262069787
nnUNetTrainer_50epochs__nnUNetResEncL_Colab__3d_fullres,post-processed,TC,0.8371547659821623,0.759700277437818
nnUNetTrainer_50epochs__nnUNetResEncL_Colab__3d_fullres,post-processed,ET,0.6970277925115175,0.6143242081460626
nnUNetTrainer_50epochs__nnUNetResEncL_Colab__3d_fullres,post-processed,Foreground,0.8110263262377223,0.733206270596953
nnUNetTrainer_50epochs__nnUNetResEncL_Colab__3d_fullres,Fold 0,WT,0.9113807147691503,0.8424127719408329
nnUNetTrainer_50epochs__nnUNetResEncL_Colab__3d_fullres,Fold 0,TC,0.8823179925525727,0.7997069702845081
nnUNetTrainer_50epochs__nnUNetResEncL_Colab__3d_fullres,Fold 0,ET,0.7086425716290992,0.619538021886646
nnUNetTrainer_50epochs__nnUNetResEncL_Colab__3d_fullres,Fold 0,Foreground,0.834113759650274,0.7538859213706622
nnUNetTrainer_50epochs__nnUNetResEncL_Colab__3d_fullres,Fold 1,WT,0.8864121256698244,0.8087758804731244
nnUNetTrainer_50epochs__nnUNetResEncL_Colab__3d_fullres,Fold 1,TC,0.7919915394117518,0.7196935845911281
nnUNetTrainer_50epochs__nnUNetResEncL_Colab__3d_fullres,Fold 1,ET,0.6854130133939358,0.609110394405479
nnUNetTrainer_50epochs__nnUNetResEncL_Colab__3d_fullres,Fold 1,Foreground,0.7879388928251707,0.7125266198232438
